,0,1,2,3,4,5,6
118,Marshall,(2017),16+,118 min,"Biography, Crime, Drama",7.3,"
The story of Thurgood Marshall, the crusading lawyer who would become the first African-American Supreme Court Justice, as he battles through one of his career-defining cases."
119,Der Baader Meinhof Komplex,(2008),R,150 min,"Action, Biography, Crime",7.3,"
A look at Germany's terrorist group, The Red Army Faction (RAF), which organized bombings, robberies, kidnappings, and assassinations in the late 1960s and '70s."
120,Max Manus,(2008),---,118 min,"Action, Biography, Crime",7.3,"
The true story about one of the most brilliant saboteurs during World War II and his battle to overcome his inner demons."
121,Babylon,(I) (2022),18+,189 min,"Comedy, Drama, History",7.2,"
A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood."
122,Kingdom of Heaven,(2005),13+,144 min,"Action, Adventure, Drama",7.2,"
Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century, and there he finds himself as the defender of the city and its people."
123,She Said,(2022),R,129 min,"Drama, History",7.2,"
New York Times reporters Megan Twohey and Jodi Kantor break one of the most important stories in a generation - a story that helped ignite a movement and shattered decades of silence around the subject of sexual assault in Hollywood."
124,The Patriot,(2000),13A,165 min,"Action, Drama, History",7.2,"
Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son."
125,The Courier,(2020),13+,112 min,"Drama, History, Thriller",7.2,"
Businessman Greville Wynne is asked by a Russian source to try to help put an end to the Cuban Missile Crisis."
126,The Post,(2017),7+,116 min,"Biography, Drama, History",7.2,"
A cover-up spanning four U.S. Presidents pushes the country's first female newspaper publisher and her editor to join an unprecedented battle between press and government."
127,The Death of Stalin,(2017),18+,107 min,"Comedy, Drama, History",7.2,"
Moscow, 1953. After being in power for nearly 30 years, Soviet dictator Joseph Vissarionovich Stalin takes ill and quickly dies. Now the members of the Council of Ministers scramble for power."
128,The Report,(I) (2019),16+,119 min,"Biography, Crime, Drama",7.2,"
Idealistic Senate staffer Daniel J. Jones, tasked by his boss to lead an investigation into the CIA's post 9/11 Detention and Interrogation Program, uncovers shocking secrets."
129,War Horse,(2011),13+,146 min,"Action, Adventure, Drama",7.2,"
Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on."
130,Anthropoid,(2016),15+,120 min,"Action, Biography, Drama",7.2,"
Based on the extraordinary true story of Operation Anthropoid, the WWII mission to assassinate SS General Reinhard Heydrich, the main architect behind the Final Solution and the Reich's third in command after Hitler and Himmler."
131,The Professor and the Madman,(2019),13+,124 min,"Biography, Drama, History",7.2,"
Professor James Murray begins work compiling words for the first edition of the Oxford English Dictionary in the mid-19th century, and receives over 10,000 entries from a patient at Broadmoor Criminal Lunatic Asylum, Dr. William Minor."
132,Kon-Tiki,(2012),PG-13,118 min,"Action, Adventure, Biography",7.2,"
Legendary explorer Thor Heyerdahl's epic 4,300-mile crossing of the Pacific on a balsawood raft in 1947, in an effort to prove that it was possible for South Americans to settle in Polynesia in pre-Columbian times."
133,Che: Part One,(2008),---,134 min,"Biography, Drama, History",7.2,"
In 1956, Ernesto 'Che' Guevara and a band of Castro-led Cuban exiles mobilize an army to topple the regime of dictator Fulgencio Batista."
134,Secretariat,(2010),G,123 min,"Biography, Drama, Family",7.2,"
Penny Chenery Tweedy and colleagues guide her long-shot but precocious stallion to set, in 1973, the unbeaten record for winning the Triple Crown."
135,The Young Victoria,(2009),7+,105 min,"Biography, Drama, History",7.2,"
A dramatization of the turbulent first years of Queen Victoria's rule, and her enduring romance with Prince Albert."
136,The Siege of Jadotville,(2016),18+,108 min,"Action, Drama, History",7.2,"
Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s."
137,Testament of Youth,(2014),PG-13,129 min,"Biography, Drama, History",7.2,"
A British woman recalls coming of age during World War I - a story of young love, the futility of war, and how to make sense of the darkest times."
138,Bajirao Mastani,(2015),---,158 min,"Action, Drama, History",7.2,"
An account of the romance between the Maratha general, Baji Rao I and Mastani, princess of Bundelkhand."
139,Stan & Ollie,(2018),G,98 min,"Biography, Comedy, Drama",7.2,"
Laurel and Hardy, the world's most famous comedy duo, attempt to reignite their film careers as they embark on what becomes their swan song: a grueling theatre tour of post-war Britain."
140,The Physician,(2013),R,155 min,"Adventure, Drama, History",7.2,"
In 11th-century Persia, a surgeon's apprentice disguises himself as a Jew to study at a school that does not admit Christians."
141,Mongol,(2007),R,126 min,"Action, Biography, Drama",7.2,"
The story recounts the early life of Genghis Khan who was a slave before going on to conquer half the world in 1206."
142,The Northman,(2022),18+,137 min,"Action, Adventure, Drama",7.1,"
A young Viking prince is on a quest to avenge his father's murder."
143,Defiance,(I) (2008),R,137 min,"Action, Drama, History",7.1,"
Jewish brothers in German-occupied Eastern Europe escape into a Belorussian forest, where they join Russian resistance fighters, and endeavor to build a village, in order to protect themselves and about one thousand Jewish non-combatants."
144,Valkyrie,(2008),13+,121 min,"Drama, History, Thriller",7.1,"
A dramatization of the July 20, 1944 assassination and political coup plot by desperate renegade German Army officers against Adolf Hitler during World War II."
145,Silence,(I) (2016),15+,161 min,"Drama, History",7.1,"
In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism."
146,Shakespeare in Love,(1998),13+,123 min,"Comedy, Drama, History",7.1,"
The world's greatest ever playwright, William Shakespeare, is young, out of ideas and short of cash, but meets his ideal woman and is inspired to write one of his most famous plays."
147,We Were Soldiers,(2002),R,138 min,"Action, Drama, History",7.1,"
The story of the first major battle of the American phase of the Vietnam War, and the soldiers on both sides that fought it, while their wives wait nervously and anxiously at home for the good news or the bad news."
148,The Dig,(2021),16+,112 min,"Biography, Drama, History",7.1,"
An archaeologist embarks on the historically important excavation of Sutton Hoo in 1938."
149,Deepwater Horizon,(2016),13+,107 min,"Action, Drama, History",7.1,"
A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history."
