,0,1,2,3,4,5,6
75,A Wednesday,(2008),---,104 min,"Action, Crime, Drama",8.1,"
A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday."
76,Du rififi chez les hommes,(1955),---,118 min,"Crime, Drama, Thriller",8.1,"
Four men plan a technically perfect crime, but the human element intervenes..."
77,Talvar,(2015),---,132 min,"Crime, Drama, Mystery",8.1,"
An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide."
78,Major,(2022),16+,150 min,"Action, Biography, Drama",8.1,"
Based on the life of Major Sandeep Unnikrishnan, who was martyred in action during the November 2008 Mumbai attacks and was consequently awarded the Ashoka Chakra, India's highest peacetime gallantry award, on 26 January 2009."
79,Pink,(III) (2016),---,136 min,"Crime, Drama, Thriller",8.1,"
When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names."
80,Article 15,(2019),---,130 min,"Crime, Drama, Mystery",8.1,"
In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination."
81,Eskiya,(1996),7+,128 min,"Crime, Drama, Thriller",8.1,"
Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover."
82,Sarfarosh,(1999),---,174 min,"Action, Drama, Thriller",8.1,"
After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists."
83,Sholay,(1975),---,204 min,"Action, Adventure, Comedy",8.1,"
After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
84,The Tashkent Files,(2019),---,134 min,"Drama, Mystery, Thriller",8.1,"
Revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death, or, as alleged, was assassinated."
85,Kahaani,(2012),---,122 min,"Mystery, Thriller",8.1,"
A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him."
86,Her Sey Çok Güzel Olacak,(1998),7+,107 min,"Comedy, Drama, Thriller",8.1,"
When Altan swipes prescription drugs from his brother Nuri's pharmacy, they soon find themselves on a dangerous but funny road trip to get rid of the stuff and escape the mafiosi Altan ...                See full summary »
"
87,Thuppakki,(2012),---,165 min,"Action, Thriller",8.1,"
An army captain is on a mission to track down and destroy a terrorist gang and deactivate the sleeper cells under its command."
88,Blade Runner 2049,(2017),15+,164 min,"Action, Drama, Mystery",8.0,"
Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
