,0,1,2,3,4,5,6
133,The Guernsey Literary and Potato Peel Pie Society,(2018),13+,124 min,"Drama, Romance, War",7.3,"
In the aftermath of World War II, a writer forms an unexpected bond with the residents of Guernsey Island when she decides to write a book about their experiences during the war."
134,"Good Morning, Vietnam",(1987),---,121 min,"Biography, Comedy, Drama",7.3,"
In 1965, an unorthodox and irreverent DJ named Adrian Cronauer begins to shake up things when he is assigned to the U.S. Armed Services radio station in Vietnam."
135,Rescue Dawn,(2006),PG-13,120 min,"Adventure, Biography, War",7.3,"
A U.S. fighter pilot's epic struggle of survival after being shot down on a mission over Laos during the Vietnam War."
136,Eye in the Sky,(2015),R,102 min,"Action, Drama, Thriller",7.3,"
Col. Katherine Powell, a military officer in command of an operation to capture terrorists in Kenya, sees her mission escalate when a girl enters the kill zone triggering an international dispute over the implications of modern warfare."
137,Den 12. mann,(2017),---,135 min,"Drama, History, Thriller",7.3,"
They were 12 saboteurs. The Nazis killed 11 of them. This is the true story of the one that got away."
138,Chi bi,(2008),R,288 min,"Action, Adventure, Drama",7.3,"
The first chapter of a two-part story centered on a battle fought in China's Three Kingdoms period (220-280 A.D.)."
139,Max Manus,(2008),---,118 min,"Action, Biography, Crime",7.3,"
The true story about one of the most brilliant saboteurs during World War II and his battle to overcome his inner demons."
140,Kingdom of Heaven,(2005),13+,144 min,"Action, Adventure, Drama",7.2,"
Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century, and there he finds himself as the defender of the city and its people."
141,Born on the Fourth of July,(1989),7+,145 min,"Biography, Drama, War",7.2,"
The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country for which he fought."
142,The Patriot,(2000),13A,165 min,"Action, Drama, History",7.2,"
Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son."
143,Unbroken,(I) (2014),15+,137 min,"Action, Biography, Drama",7.2,"
After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp."
144,The Courier,(2020),13+,112 min,"Drama, History, Thriller",7.2,"
Businessman Greville Wynne is asked by a Russian source to try to help put an end to the Cuban Missile Crisis."
145,The Post,(2017),7+,116 min,"Biography, Drama, History",7.2,"
A cover-up spanning four U.S. Presidents pushes the country's first female newspaper publisher and her editor to join an unprecedented battle between press and government."
146,Cold Mountain,(2003),18+,154 min,"Adventure, Drama, Romance",7.2,"
In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart."
147,War Horse,(2011),13+,146 min,"Action, Adventure, Drama",7.2,"
Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on."
148,Anthropoid,(2016),15+,120 min,"Action, Biography, Drama",7.2,"
Based on the extraordinary true story of Operation Anthropoid, the WWII mission to assassinate SS General Reinhard Heydrich, the main architect behind the Final Solution and the Reich's third in command after Hitler and Himmler."
149,Che: Part One,(2008),---,134 min,"Biography, Drama, History",7.2,"
In 1956, Ernesto 'Che' Guevara and a band of Castro-led Cuban exiles mobilize an army to topple the regime of dictator Fulgencio Batista."
