,0,1,2,3,4,5,6
135,The Frighteners,(1996),R,110 min,"Comedy, Fantasy, Horror",7.1,"
After a tragic car accident that kills his wife, a man discovers he can communicate with the dead, and he uses that gift to con people. However, when a demonic spirit appears, he may be the only one who can stop it from killing the living and the dead."
136,In the Mouth of Madness,(1994),R,95 min,"Drama, Fantasy, Horror",7.1,"
An insurance investigator begins discovering that the impact a horror writer's books have on his fans is more than inspirational."
137,Black Christmas,(1974),---,98 min,"Horror, Mystery, Thriller",7.1,"
During their Christmas break, a group of sorority girls are stalked by a stranger."
138,"Janghwa, Hongryeon",(2003),R,114 min,"Drama, Horror, Mystery",7.1,"
After spending time in a mental hospital, a girl is reunited with her sister and returns home, only to see some truly strange events start to happen."
139,Day of the Dead,(1985),---,101 min,"Horror, Thriller",7.1,"
As the world is overrun by zombies, a group of scientists and military personnel sheltering in an underground bunker in Florida must determine how they should deal with the undead horde."
140,Bakjwi,(2009),R,134 min,"Drama, Fantasy, Horror",7.1,"
Through a failed medical experiment, a priest is stricken with vampirism and is forced to abandon his ascetic ways."
141,Los cronocrímenes,(2007),R,92 min,"Horror, Mystery, Sci-Fi",7.1,"
A man accidentally gets into a time machine and travels back in time nearly an hour. Finding himself will be the first of a series of disasters of unforeseeable consequences."
142,Dance of the Vampires,(1967),---,108 min,"Comedy, Horror",7.1,"
A noted professor and his dim-witted apprentice fall prey to their inquiring vampires, while on the trail of the ominous damsel in distress."
143,Pearl,(2022),R,103 min,"Drama, Horror, Thriller",7.0,"
In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation and lovelessness of life on her parents' farm."
144,Barbarian,(2022),R,102 min,"Horror, Mystery, Thriller",7.0,"
A woman staying at an Airbnb discovers that the house she has rented is not what it seems."
145,Last Night in Soho,(2021),16+,116 min,"Drama, Horror, Mystery",7.0,"
An aspiring fashion designer is mysteriously able to enter the 1960s, where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker."
146,El hoyo,(2019),18+,94 min,"Horror, Sci-Fi, Thriller",7.0,"
A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole."
147,Constantine,(2005),15+,121 min,"Action, Fantasy, Horror",7.0,"
Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more."
148,The Cabin in the Woods,(2011),18+,95 min,"Horror, Mystery, Thriller",7.0,"
Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods."
149,The Killing of a Sacred Deer,(2017),15+,121 min,"Drama, Horror, Mystery",7.0,"
Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister."
150,Martyrs,(2008),18+,99 min,Horror,7.0,"
A young woman's quest for revenge against the people who kidnapped and tormented her as a child leads her and a friend, who is also a victim of child abuse, on a terrifying journey into a living hell of depravity."
151,Hotel Transylvania,(2012),G,91 min,"Animation, Adventure, Comedy",7.0,"
Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter."
152,World War Z,(2013),13+,116 min,"Action, Adventure, Horror",7.0,"
Former United Nations employee Gerry Lane traverses the world in a race against time to stop a zombie pandemic that is toppling armies and governments and threatens to destroy humanity itself."
