,0,1,2,3,4,5,6
103,Dark Waters,(2019),13A,126 min,"Biography, Drama, History",7.6,"
A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution."
104,Only the Brave,(2017),13A,134 min,"Action, Biography, Drama",7.6,"
Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire."
105,"Argentina, 1985",(2022),18+,140 min,"Biography, Crime, Drama",7.6,"
A team of lawyers takes on the heads of Argentina's bloody military dictatorship during the 1980s in a battle against odds and a race against time."
106,Freedom Writers,(2007),13+,123 min,"Biography, Crime, Drama",7.6,"
A young teacher inspires her class of at-risk students to learn tolerance, apply themselves and pursue education beyond high school."
107,Just Mercy,(2019),13+,137 min,"Biography, Crime, Drama",7.6,"
World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner."
108,The Last King of Scotland,(2006),13+,123 min,"Biography, Drama, History",7.6,"
Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s."
109,Escape from Alcatraz,(1979),---,112 min,"Action, Biography, Crime",7.6,"
Alcatraz is the most secure prison of its time. It is believed that no one can ever escape from it, until three daring men make a possibly successful attempt at escaping from one of the most infamous prisons in the world."
110,The Two Popes,(2019),13+,125 min,"Biography, Comedy, Drama",7.6,"
Behind Vatican walls, the conservative Pope Benedict XVI and the liberal future Pope Francis must find common ground to forge a new path for the Catholic Church."
111,The Boy Who Harnessed the Wind,(2019),13+,113 min,"Biography, Drama, History",7.6,"
Against all the odds, a thirteen-year-old boy in Malawi invents an unconventional way to save his family and village from famine."
112,Philomena,(2013),PG-13,98 min,"Biography, Comedy, Drama",7.6,"
A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent."
113,The Hurricane,(1999),R,146 min,"Biography, Drama, Sport",7.6,"
The story of Rubin 'Hurricane' Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence."
114,Control,(2007),R,122 min,"Biography, Drama, Music",7.6,"
A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23."
115,La Vie En Rose,(2007),PG-13,140 min,"Biography, Drama, Music",7.6,"
Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy."
116,Huo Yuan Jia,(2006),PG-13,104 min,"Action, Biography, Drama",7.6,"
A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation."
117,Shine,(1996),PG-13,105 min,"Biography, Drama, Music",7.6,"
Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim."
118,Sanju,(2018),---,155 min,"Biography, Comedy, Drama",7.6,"
Biopic of the controversial life of actor Sanjay Dutt: his film career, jail sentence, and personal life."
119,Sophie Scholl - Die letzten Tage,(2005),---,120 min,"Biography, Crime, Drama",7.6,"
A dramatization of the final days of Sophie Scholl, one of the most famous members of the German World War II anti-Nazi resistance movement, The White Rose."
120,The Greatest Showman,(2017),13A,105 min,"Biography, Drama, Musical",7.5,"
Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation."
121,The Favourite,(2018),15+,119 min,"Biography, Comedy, Drama",7.5,"
In early 18th-century England, the status quo at the court is upset when a new servant arrives and endears herself to a frail Queen Anne."
122,42,(2013),PG-13,128 min,"Biography, Drama, Sport",7.5,"
In 1947, Jackie Robinson becomes the first African-American to play in Major League Baseball in the modern era when he was signed by the Brooklyn Dodgers and faces considerable racism in the process."
123,The Aviator,(2004),G,170 min,"Biography, Drama",7.5,"
A biopic depicting the early years of legendary director and aviator Howard Hughes' career from the late 1920s to the mid 1940s."
124,Lone Survivor,(2013),15+,121 min,"Action, Biography, Drama",7.5,"
Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare."
125,Richard Jewell,(2019),16+,131 min,"Biography, Crime, Drama",7.5,"
Security guard Richard Jewell is an instant hero after foiling a bomb attack at the 1996 Atlanta Olympics, but his life becomes a nightmare when the FBI leaks to the media that he is a suspect in the case."
126,"I, Tonya",(2017),15+,119 min,"Biography, Comedy, Drama",7.5,"
Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes."
127,BlacKkKlansman,(2018),13+,135 min,"Biography, Comedy, Crime",7.5,"
Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events."
128,Blow,(2001),18+,124 min,"Biography, Crime, Drama",7.5,"
The story of how George Jung, along with the Medellín Cartel headed by Pablo Escobar, established the American cocaine market in the 1970s in the United States."
129,"tick, tick...BOOM!",(2021),13+,120 min,"Biography, Comedy, Drama",7.5,"
On the cusp of his 30th birthday, a promising young theater composer navigates love, friendship and the pressures of life as an artist in New York City."
130,127 Hours,(2010),15+,94 min,"Biography, Drama",7.5,"
A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive."
131,King Richard,(2021),10+,144 min,"Biography, Drama, Sport",7.5,"
A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard Williams."
132,Boys Don't Cry,(1999),18+,118 min,"Biography, Crime, Drama",7.5,"
A young man named Brandon Teena navigates love, life, and being transgender in rural Nebraska."
133,The Assassination of Jesse James by the Coward Robert Ford,(2007),15+,160 min,"Biography, Crime, Drama",7.5,"
Robert Ford, who's idolized Jesse James since childhood, tries hard to join the reforming gang of the Missouri outlaw, but gradually becomes resentful of the bandit leader."
134,Hunger,(2008),18+,96 min,"Biography, Crime, Drama",7.5,"
Irish republican Bobby Sands leads the inmates of a Northern Irish prison in a hunger strike."
135,Midnight Express,(1978),18+,121 min,"Biography, Crime, Drama",7.5,"
Billy Hayes, an American college student, is caught smuggling drugs out of Turkey and thrown into prison."
136,Chaplin,(1992),PG-13,143 min,"Biography, Comedy, Drama",7.5,"
An elderly Charlie Chaplin discusses his autobiography with his editor, recounting his amazing journey from his poverty-stricken childhood to world-wide success after the ingenious invention of the Little Tramp."
137,Rudy,(1993),PG,114 min,"Biography, Drama, Sport",7.5,"
Rudy has always been told that he was too small to play college football. But he is determined to overcome the odds and fulfill his dream of playing for Notre Dame."
138,Saving Mr. Banks,(2013),7A,125 min,"Biography, Comedy, Drama",7.5,"
Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen."
139,Christiane F. - Wir Kinder vom Bahnhof Zoo,(1981),---,138 min,"Biography, Drama",7.5,"
A teen girl in 1970s Berlin becomes addicted to heroin. Everything in her life slowly begins to distort and disappear as she befriends a small crew of junkies and falls in love with a drug-abusing male prostitute."
140,Milk,(I) (2008),18+,128 min,"Biography, Drama, History",7.5,"
The story of Harvey Milk, and his struggles as an American gay activist who fought for gay rights and became California's first openly gay elected official."
141,Selma,(2014),PG-13,128 min,"Biography, Drama, History",7.5,"
A chronicle of Dr. Martin Luther King, Jr.'s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama, in 1965."
142,En kongelig affære,(2012),13A,137 min,"Biography, Drama, History",7.5,"
A young queen, who is married to an insane king, falls secretly in love with her physician - and together they start a revolution that changes a nation forever."
143,Fruitvale Station,(2013),15+,85 min,"Biography, Crime, Drama",7.5,"
The story of Oscar Grant III, a 22-year-old Bay Area resident, who crosses paths with friends, enemies, family, and strangers on the last day of 2008."
144,Quiz Show,(1994),PG-13,133 min,"Biography, Drama, History",7.5,"
A young lawyer, Richard Goodwin, investigates a potentially fixed game show. Charles Van Doren, a big time show winner, is under Goodwin's investigation."
145,The Great Debaters,(2007),PG-13,126 min,"Biography, Drama, Romance",7.5,"
A drama based on the true story of Melvin B. Tolson, a professor at Wiley College Texas. In 1935, he inspired students to form the school's first debate team, which went on to challenge Harvard in the national championship."
146,Yip Man 2,(2010),R,108 min,"Action, Biography, Drama",7.5,"
Centering on Ip Man's migration to Hong Kong in 1949 as he attempts to propagate his discipline of Wing Chun martial arts."
147,Henry V,(1989),PG-13,137 min,"Biography, Drama, History",7.5,"
In the midst of the Hundred Years War, the young King Henry V of England embarks on the conquest of France in 1415."
